,roi,x,y
0,0,55.34368070953437,219.85714285714286
1,0,151.84035476718404,225.34285714285718
2,0,151.84035476718404,132.0857142857143
3,0,56.76274944567627,132.0857142857143
4,1,210.0221729490022,208.8857142857143
5,1,316.4523281596452,211.62857142857143
6,1,317.8713968957872,107.4
7,1,210.0221729490022,103.28571428571428
8,2,357.6053215077605,214.3714285714286
9,2,456.940133037694,214.3714285714286
10,2,458.35920177383593,106.02857142857144
11,2,356.1862527716186,104.65714285714287
12,3,509.44567627494456,214.3714285714286
13,3,608.780487804878,213.0
14,3,611.6186252771619,92.31428571428572
15,3,508.0266075388026,89.57142857142857
16,4,173.12638580931264,377.5714285714286
17,4,72.37250554323725,372.08571428571435
18,4,80.8869179600887,237.6857142857143
19,4,177.38359201773838,239.05714285714288
20,5,218.53658536585363,385.8
21,5,333.48115299334813,396.7714285714286
22,5,336.31929046563187,273.34285714285716
23,5,221.37472283813747,263.7428571428572
24,6,376.0532150776053,378.9428571428573
25,6,493.8359201773836,380.31428571428575
26,6,493.8359201773836,259.62857142857143
27,6,376.0532150776053,261.0
28,7,506.6075388026608,352.88571428571436
29,7,617.2949002217292,352.88571428571436
30,7,617.2949002217292,254.14285714285717
31,7,506.6075388026608,252.77142857142857
