,roi,x,y
0,0,152.78651607538802,214.8142299107143
1,0,66.2233231707317,209.32851562500002
2,0,66.2233231707317,148.98565848214287
3,0,152.78651607538802,148.98565848214287
4,1,222.32088414634146,191.49994419642857
5,1,315.9794207317073,192.87137276785714
6,1,315.9794207317073,113.32851562500001
7,1,222.32088414634146,111.95708705357143
8,2,362.8086890243902,201.0999441964286
9,2,457.88629434589797,201.0999441964286
10,2,459.3053630820399,102.35708705357143
11,2,362.8086890243902,99.61422991071429
12,3,508.97276884700665,176.41422991071428
13,3,601.2122366962305,175.04280133928572
14,3,604.0503741685144,81.78565848214286
15,3,510.3918375831485,79.04280133928572
16,4,181.16789079822615,244.98565848214287
17,4,172.65347838137473,357.4428013392857
18,4,70.48052937915743,349.2142299107143
19,4,78.99494179600887,235.38565848214287
20,4,80.41401053215077,234.0142299107143
21,5,338.6845205099778,375.27137276785714
22,5,236.51157150776052,373.8999441964286
23,5,232.2543652993348,275.15708705357144
24,5,342.9417267184035,275.15708705357144
25,6,409.63795731707313,350.5856584821429
26,6,506.1346313747228,350.5856584821429
27,6,506.1346313747228,257.328515625
28,6,408.21888858093126,255.95708705357143
29,7,510.3918375831485,240.87137276785717
30,7,510.3918375831485,320.4142299107143
31,7,608.3075803769401,323.15708705357144
32,7,609.726649113082,243.6142299107143
